id,username,text,created_at
1,@vonlykekung1746,"Pertama bpk dan keluarga yg diuji coba, jgn rakyat yg jd kelinci percobaan😂",2025-06-07T23:04:59Z
2,@tandry-ui7gi,"Ayo donk bertemu Pak Dharma, berani gak utk berdebat?",2025-06-07T20:57:04Z
3,@voniponiyawati4458,Bedaaaa covid dg TBC❗,2025-06-07T12:17:40Z
4,@voniponiyawati4458,Menkes dulu deh di ojoss❗,2025-06-07T12:15:12Z
5,@OkiJeli-w9p,Demi Allah saya nggak ikhlas saya di vaksin.,2025-06-07T08:54:02Z
6,@nanangrahul7905,"Uji coba nya keluarga menkes, dpr mpr dan kementrian saja. Kan katanya mereka wakil rakyat",2025-06-06T22:48:21Z
7,@yadis6075,Negara ancur,2025-06-06T21:31:12Z
8,@JhonatanAcademy,Omong kosong....persetan denganmu Budi Sadikin...mau bikin ulah apalagi kau????proyek aja elu....nyari duit Mulu dri jualan vaksin,2025-06-06T17:20:55Z
9,@nasrulromadoni5656,Halah ngapusi🤣🤣,2025-06-06T16:26:15Z
10,@Meta-iv1zy,Negara lain aj yang berpastisipasi Pak dlm uji vaksin TBC. Indonesia gk butuh,2025-06-06T15:07:10Z
11,@AriGothie,Ahli2 ...AHLI NIPU2 YA PAK MENKES ..... DAPET BERAPA MILYAR NIH IKUT JADI KELINCI PERCOBAAN DARI BG .......RAKYAT YG DI VAKSIN KAMU YG DAPET DUIT ..ADA APA2 KAMU GA MAU TANGGUNG JAWAB,2025-06-06T12:34:13Z
12,@RezaUtama-u1e,Cuan cuan,2025-06-06T02:06:05Z
13,@Samsul-dd4yb,Klou mau vansin kamu aja sama kluarga kamu,2025-06-05T22:59:13Z
14,@jazudrink7583,Saya percaya siti fadilah,2025-06-05T17:41:58Z
15,@jazudrink7583,Menteri antek antek asing,2025-06-05T17:41:36Z
16,@jazudrink7583,Ini menkes lulusan kesehatan bukan? Klo ahli dagang rakyatpun akan ditumbalkan,2025-06-05T17:40:51Z
17,@weasleydollie13467,"Program CKG tuh benerin. Ke puskesmas segala alat yg dibutuhkan buat CKG gak ada . Ujung2nya cuma dapet tes Guldar + Kolestrol. Tp di laporan SATU sehat tau2 ada laporan hasil pemeriksaan telinga, gigi, kanker payudara... DARI MANA WOYY DARI MANA. Mana dibilang gigi bolong. Padahal gigiku ga ada yg bolong.",2025-06-05T13:14:14Z
18,@riyan8956,Saya gak mau dijadikan bahan percobaan...tolak vaksin,2025-06-05T12:57:00Z
19,@rlh1638,Menkes sdh tdk dipercaya masyarakat IND. Copot saja jabatannya.,2025-06-05T09:37:03Z
20,@asheeqa-w2z,Uji coba keluargamu dulu,2025-06-05T05:21:05Z
21,@NurJubahputih,"Ujicoba sih ngga usah langsung ke rakyat, wakilnya dulu dong yg harus pertama nyoba,<br>Nohh banyak wakil2 rakyat duduk manis berjejer, itu aja dulu",2025-06-04T17:41:14Z
22,@harsonogw6620,Uji cobanya terhadap yg ngomong<br>Ngapain<br>Enak aja penyakit kok direncanakan,2025-06-04T15:59:28Z
23,@SultanIskandar-p6b9l,Ngozi choda to dia MP3,2025-06-04T13:07:19Z
24,@SultanIskandar-p6b9l,Kamu orang itu jual obat saja itu,2025-06-04T13:06:40Z
25,@SultanIskandar-p6b9l,Coba kamu uji coba itu pelacur pelacur di hotel itu banyak itu yang bawa kumang-kumang itu,2025-06-04T13:03:24Z
26,@SultanIskandar-p6b9l,Kamu orang itu jual obat itu,2025-06-04T13:02:29Z
27,@SultanIskandar-p6b9l,Kalau ada dokter di rumah sakit di kampung saya yang mau uji coba masyarakat di kampung saya hati-hati dokter itu tidak bakalan akan selamat itu dokter nanti itu,2025-06-04T13:02:13Z
28,@SultanIskandar-p6b9l,Berarti datang penyakit ini dari negara miskin puki ayam itu penyakit,2025-06-04T13:01:09Z
29,@SultanIskandar-p6b9l,Game bicara itu yang dicoba itu,2025-06-04T13:00:29Z
30,@SultanIskandar-p6b9l,Yang kedua diuji coba pemerintahnya itu,2025-06-04T13:00:14Z
31,@SultanIskandar-p6b9l,Yanti uji coba itu dokternya dulu,2025-06-04T12:59:59Z
32,@SultanIskandar-p6b9l,Kalau ada rumah sakit di kampung saya yang mau uji coba masyarakat di kampung saya saya bakar itu rumah sakit,2025-06-04T12:59:46Z
33,@SultanIskandar-p6b9l,Politisi semua kamu orang itu,2025-06-04T12:59:25Z
34,@SultanIskandar-p6b9l,Berarti datang penyakit ini dari negara miskin,2025-06-04T12:59:09Z
35,@SultanIskandar-p6b9l,Yang diuji coba tuh dia yang bicara itu,2025-06-04T12:58:45Z
36,@andikadimas4605,"Keluarga kemenkes, pemerintahan dulu aja yg buat uji coba <br>Kalo ampuh baru ke rakyat <br>Jangan langsung kerakyat mulu yg dijadiin kelinci",2025-06-04T12:22:51Z
37,@henimesie9973,Barti Menkes uji coba dulu beserta petinggi negara jangan rakyat yg jadi bahan uji dulu .ini BPK Menkes harus suntik vaksin dulu harus di depan rakyat .,2025-06-04T11:35:33Z
38,@leonardepsy13,Urgensinya apa ribut tentang vaksinasi? Tiba&quot; bnget,2025-06-04T04:55:12Z
39,@GreFam-t2c,"Kata siapa covid hilng karna vaksin? Itu ente ajh yg asal mengklaim vaksin hilng krna vaksin,bnyak yg gk di vaksin smpe skrang masi sehat2 ajh",2025-06-04T03:57:21Z
40,@JonJpr,UJI COBA PERTAMA HARUS PARA PEJABAT DAN KELUARGA MEREKA. NANTI SETELAH 10 TAHUN BARULAH KEPADA RAKYAT. <br><br>JANGAN PEJABAT YANG ADALAH PENGAMBIL KETURUNAN MENJADIKAN MASYARAKAT SEBAGAI KELINCI PERCOBAAN.,2025-06-03T22:50:58Z
41,@hauysh,pejabatnyaa dulu semua suntikin ya pemerintah anjeng,2025-06-03T22:28:40Z
42,@AntonOscrno,"Coba undang pak mentri kesehatan dan pak dharma ponrekun untk berdebat perihal vaksinasi yg dibikin oleh para elit global, karna mungkin uang yg di sumbangkan bill gates ada maksud tertentu. Perlu di pertanyakan?",2025-06-03T20:55:39Z
43,@GalihJonatan-kr4tx,Prex,2025-06-03T19:25:23Z
44,@jokoprayitno3848,Gak henti2nya korbankan rakyat....belum hilang trauma kita atas vaksinasi covid...<br>Kini tbc jadi kedok....pejabat vaksin dulu depan RAKYAT....!!!!!!!!,2025-06-03T16:15:51Z
45,@ardhyKohe,Banyak yg meninggl aja indonesia gak sanggup sejahtrakan. Bahkan yg tidur di kolong jembatan saja masih banyak bagaimana kalau hidup semua. Indonesia ini mau jadi apa,2025-06-03T15:58:58Z
46,@muhammadainur4380,Heran😂😂😂<br>Bapak kemenkes aja yg divaksin<br>Kami menolak vaksin tbc,2025-06-03T15:07:48Z
47,@aslan0258,"Klo ngk safety vaksin nya gmn❓ anda menyembunyikan sesuatu d sni,😂😂😂😂",2025-06-03T13:53:15Z
48,@aslan0258,"Klo ngk safety vaksin nya gmn❓ anda menyembunyikan sesuatu d sni,😂😂😂😂",2025-06-03T13:53:01Z
49,@aslan0258,"Ad bisnis d dalam ini, PEMBODOHAN LAGI ini.😂😂😂YG mau jdi kelinci percobaan",2025-06-03T13:50:50Z
50,@kusmayadi8652,Jngn mau di suntik  itu uji coba  biar pemerintah dan DPR ja iti kn wakil kita,2025-06-03T13:39:09Z
51,@ArifFauzi-fm1hr,Gah vaksin marai cepet mati.presiden aja am jajarane....aku sehat walafiat amin.,2025-06-03T12:36:42Z
52,@andimelit4711,"Saya lebih percaya pak dharma dari pada Pak menkes. <br>Apalagi jika sosoknya menterinya pun bukan klinisi. <br>Pada akhirnya pakar2 sepesialisasi kesehatan di bawahnya akan dibenturkan dengan kebijakan seperti era covid. <br>Dimana teori2 kesehatannya lebih dominan bermadzhab pesanan asing, ketimbang kepercayaan diri ilmu pengetahuan medis dari dalam negeri. <br>WHO itu sdh menjadi malaikat ketimbang klinisi yg belajar di dalam negeri 😢. <br>Berdiri dengan standard ganda, baik dan buruk 22 nya dimainkan. <br>Tapi pada akhirnya dominan malapetaka",2025-06-03T12:05:59Z
53,@user-zy9oo2yb6u,Bapak aja yg divacsin duluan,2025-06-03T12:05:57Z
54,@pelangijingga6761,Bisakah kasih Data ketika masa Kovid bangsa Israel Ada yang meninggal Karna Kovid??,2025-06-03T09:03:22Z
55,@syafruddinm4122,Bapak bilang kerja sama dengan UI tapi bapak di demo okeh ProfDesan kedokteran  UI Dimana kerjasama,2025-06-03T06:52:51Z
56,@WisnuWardana-b3j,Anjing Jagan banyak alasan  nakut rakyat aja rakyat udah sensara datang penyakit baru lagi boleh cari uang bukan begitu caranya,2025-06-03T06:08:26Z
57,@mamybaru4720,"Suka suka kau ngomong sesuka hati , mengatakan bnyak yg mati karena TBC padahal itu semua hanya bohong",2025-06-03T05:35:01Z
58,@eddysaputra-mw2uc,Vaksin tidak masalah kalo sudah di ujicoba pak. Menkes. Jangan rakyat jadi kelinci percobaan.,2025-06-03T03:59:37Z
59,@ronisusanto3307,Kita hidup sebagai rakyat biasa..Dan di dewan ada perwakilan dr rakyat atau dpr..Untuk uji coba vaksin tbc alahkah baiknya uji coba dilakukan pd para wakil rakyat..Sesudah itu bila diterapkan maka rakyat baru bisa divaksin.,2025-06-03T02:27:16Z
60,@D.I.HMedia,MEREKA PIKIR RAKYAT INDO SKRG BODO 😂😂😂😂😂,2025-06-02T18:05:19Z
61,@D.I.HMedia,orang tua jaman dlu umurnya pada panjang .soalnya g di vaksin apapun .😂😂😂,2025-06-02T18:01:14Z
62,@ahmadhasanbaktir7540,Vaksin dulu menteri ini.banyak omong.rakyat sdh cerdas.jangan merasa diri paling pintar.,2025-06-02T09:59:21Z
63,@azhartanjung4876,"AGAR PEJABAT PEMERINTAH  DILIHAT SANGAT PERHATIAN KEPADA RAKYATNYA,  UNTUK SUNTIK VAKSIN TBC  DI DAHULUKAN DAHULU KEPADA SELURUH PEJABAT EKSEKUTIF,  LEGISLATIF DAN YUDIKATIF,  BARU RAKYATNYA.",2025-06-02T04:50:07Z
64,@muhammadfaisal5681,Nenemoyang kenapa bukan dirimu sendiri yg dijadikan uji coba,2025-06-02T04:44:34Z
65,@muhammadfaisal5681,"Vaksin tbc yg tidak diterima dinegaranya sendiri yaitu amerika,menteri kesehatan amerika Rfk jr kerasss menolak vaksin bill gates",2025-06-02T04:41:47Z
66,@NaniMartini-q4i,"Udh lh pk,urusan mninggal sudah khendak Alloh,BPK juga blum tentu,BPK aja dlu yg pke, Masyarakat udh PDA ngerti...",2025-06-02T01:38:31Z
67,@jamiagani4763,Paksin memang diperlukan tapi hasil uji coba dari anak bangsa Indonesia sendiri,2025-06-01T20:11:03Z
68,@anggasaputra-gr3fk,Betul tolak keras.,2025-06-01T17:53:18Z
69,@vrm0076,"Mumpung negri konoha banyak kelinci2 percobaan, gaskeennn.<br>Politik dagang lgi aja, bpjs benerin dulu, masi krg tah pajak rakyat, sampai pake rakyat jd kelinci?",2025-06-01T16:16:21Z
70,@WardaDmk123-gg1bq,"😂 baiknya faxin itu diuji ke keluarga bapak dulu,,, kalau keluarga bapak aman baru ke masyarakat,, tapi kalau keluarga bapak mati ya syukur,,,kami tidak butuh vaxin pak,,yg kami butuhkan Duet,,kemana larinya duet sitaan yg ribuan triliun itu,,??????",2025-06-01T13:32:51Z
71,@TopGlobalOdette88,Disaat negara lain presiden nya melindungi nyawa rakyat nya dari ancaman luar tapi diindonesia prabowo gak perlu apapun itu bahaya yg membahayakan nyawa rakyatnya dari ancaman luar yg ptg cuan bos!,2025-06-01T12:57:43Z
72,@agoestahmad0439,Knapa hrs ada uji coba vaksin TBC yg lain...Apakah bapak menkes sdh tidak percaya lg dgn vaksin BCG selama ini.yg sdh aman.,2025-06-01T09:34:42Z
73,@kumbang3,"Yg dulu milih dia kemana jalian<br><br>Di persilahkan maju untuk di uji coba vaksin nya,kan kalian pendukung nya,,,,<br>Ayo muncul dong",2025-06-01T08:31:21Z
74,@xiayoucheng4775,Silahkan Test uji coba pada RELAWAN berbayar yang mau saja. Di Amerika saja yang bersedia jadi manusia percobaan saja dibayar minimal 2 ribu US $,2025-06-01T06:24:56Z
75,@yulcitogalami3757,Anak cucu dan keluargaku akan sy larang vaksinasi TB,2025-06-01T05:57:07Z
76,@yulcitogalami3757,"Bah gak percaya dgn  vaksin TBC PD org dewasa.....sy puluhan tahun merawat pasien TBC tanpa pakai masker.... sampai sekarang msh sehat...Krn didukung dgn gizi yg tinggi, istrahat yg cukup kami sekeluarga sehat walafiat..... intinya makanan sehat bergizi dan TDK merokok..... bertahun-tahun sejak praktek sampai bekerja PNS merawat pasien TBC yg aktif BTA POSITIF,batuk darah sampai muntah darah......Paru2 bersih dong😊😊😊😊",2025-06-01T05:56:15Z
77,@bengal192,Seluruh pejabat di negara ini saja untuk uji coba vaksin,2025-06-01T05:36:34Z
78,@bakhtiarprasetya2277,Vaksin vaksin tay ajg,2025-06-01T05:35:41Z
79,@Kawalinabesar,"Kenapa ga di uji coba di negara bill gates sono 😂😂 ini mentri omon omon 😂😂😂 vaksin efektif jika sudah dapat dipertanggungjawabkan, nah ini belum dpt dipertanggungkan malah buat kita yg jd kelinci😂😂😂 <br>Satu lg yh.... TBC di negara maju juga ada. TBC ga Mandang lu punya uang atw ga ..... 😂😂😂",2025-05-31T23:28:27Z
80,@ekaputra9704,Kenapa Ga urusin Buat Pembangkit listrik aja berbasis Nuklir...Sarjana Nuklir kok Jadi Menkes....Kan Tololllllll😂😂😂,2025-05-31T23:25:13Z
81,@mistergaren,"Kocak uyyyyy , erick sama keluarga jokowi , megawati , aguan , 9 naga , semua anggota dpr (wakil rakyat)  , pejabat2 atas di pemerintahan nkri yg duluan dong suntik vaksin baru ini yg dari bill gates , pasti mereka semua cukup buat memenuhi kuota uji coba vaksin tsb",2025-05-31T21:13:19Z
82,@idhamdream4881,"ini bill gates dia pencipta softwere komputer, coy bukan orang medis wkwk",2025-05-31T19:56:51Z
83,@AbahGedang-u6w,Cing atuh dicoba di papua yanglikingkungana pabeuliyyt sngerweeh anggerweh...,2025-05-31T17:28:29Z
84,@AbahGedang-u6w,Bagaimana  nasib generasi nanti DNA na jadi kelenci,2025-05-31T16:34:59Z
85,@AbahGedang-u6w,Yang bener aja boss massa mau dibikin kelinci percobaan,2025-05-31T16:30:00Z
86,@AndreAja-j6j,Kenapa harus indonesia..yg menjadi uji coba....apakah sebaiknya  vaksin ini di ujicobakan pada ..wakil rakyat..,2025-05-31T16:27:30Z
87,@nachen3415,"KLO beneran... Kemenkes dan yang bekerja di pemerintahan dulu yang di vaksin... Di siarkan Live kita tunggu lah 2,3bulan apa eveknya. Lahhh baru lah rakyat percaya...😂😅",2025-05-31T16:13:27Z
88,@ferdichanel_2000,Pembodohan semua,2025-05-31T14:40:34Z
89,@joedemark9129,JIKA IND NANTI MENJADI DARURAT TBC TAK MENUTUP KEMUNGKINAN AKAN ADA GERAKAN MARAH DARI RAKYAT UNTUK MENUNTUT PRABOWO DILENGSERKAN KRN SUDAH MEMBAHAYAKAN RAKYATNYA SENDIRI,2025-05-31T12:10:50Z
